display_name,type,lat,lon,alamat,zip,bank,country,provinsi,kota
"Bank BCA, Jalan Karang Tengah Raya, RW 06, Lebak Bulus, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12450, Indonesia",bank,-6.3006348,106.780463,Jalan Karang Tengah Raya,12450,BANK BCA,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Selatan
"Bank BCA, Gang Depotes 1, RW 05, Ragunan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12560, Indonesia",bank,-6.2940825,106.8163599,Gang Depotes 1,12560,BANK BCA,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Selatan
"Bank BCA, Jalan Prapen, RW 06, Sidosermo, Wonocolo, Surabaya, Jawa Timur, 60299, Indonesia",bank,-7.311628649999999,112.75689510000001,Jalan Prapen,60299,BANK BCA,Indonesia,Jawa Timur,Surabaya
"Bank BCA, Jalan Coklat, RW 02, Bongkaran, Pabean Cantian, Surabaya, Jawa Timur, 60145, Indonesia",bank,-7.2397273,112.7404660740037,Jalan Coklat,60145,BANK BCA,Indonesia,Jawa Timur,Surabaya
"Bank BCA, Jalan Kemang Pratama, Rawalumbu, Bojong Rawalumbu, Kota Bekasi, Jawa Barat, 17114, Indonesia",bank,-6.2768662,106.9893405,Jalan Kemang Pratama,17114,BANK BCA,Indonesia,Jawa Barat,Kota Bekasi
"Bank BCA, Jalan Dokter Sitanala, Karang Sari, Neglasari, Tangerang, Banten, 15129, Indonesia",bank,-6.1641738,106.6345078,Jalan Dokter Sitanala,15129,BANK BCA,Indonesia,Banten,Tangerang
"Bank BCA, Jalan Datu Tuan, Lingk. Butun Indah, Kel. Mandalika, Mataram, Kec. Sandubaya, Nusa Tenggara Barat, 83235, Indonesia",bank,-8.5916329,116.1494472,Jalan Datu Tuan,83235,BANK BCA,Indonesia,Nusa Tenggara Barat,Kec. Sandubaya
"Bank BCA, 1, Mayangan, Pasuruan, Jawa Timur, 67111, Indonesia",bank,-7.64000915,112.91175547359796,Mayangan,67111,BANK BCA,Indonesia,Jawa Timur,Pasuruan
"Bank BCA, Jalan Rawasari Selatan, RW 01, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10570, Indonesia",bank,-6.1858126,106.871043,Jalan Rawasari Selatan,10570,BANK BCA,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Pusat
"Bank BCA, Jalan Cempaka Putih Raya, RW 03, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10540, Indonesia",bank,-6.176831,106.87463951548081,Jalan Cempaka Putih Raya,10540,BANK BCA,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Pusat
"Bank BCA, Jalan Brigjen Hasan Kasim, Kalidoni, Palembang, Sumatera Selatan, Sumatera, 30114, Indonesia",bank,-2.9479518,104.7856315,Jalan Brigjen Hasan Kasim,30114,BANK BCA,Indonesia,Sumatera Selatan,Palembang
