display_name,type,lat,lon,alamat,provinsi,kota,zip,bank
"Bank Mandiri, Jalan Melati, Kelurahan Simpang Baru, Kabupaten Kampar, Riau, 16547, Indonesia",bank,0.4952742,101.3737518,Jalan Melati,Riau,Kabupaten Kampar,16547,BANK MANDIRI
"Bank Mandiri, Jalan Mohammad Yamin, Kelurahan Sukaramai, Kabupaten Kampar, Riau, 28144, Indonesia",bank,0.5319674,101.4470780091275,Jalan Mohammad Yamin,Riau,Kabupaten Kampar,28144,BANK MANDIRI
"Bank Mandiri, Jalan Jendral Sudirman, Ranah Dalam 1, Padang, Sumatera Barat, 25112, Indonesia",bank,-0.9483796,100.3628683,Jalan Jendral Sudirman,Sumatera Barat,Padang,25112,BANK MANDIRI
"Bank Mandiri, Jalan Bagindo Aziz Chan, Ranah Dalam 1, Padang, Sumatera Barat, 25119, Indonesia",bank,-0.951832,100.3642237,Jalan Bagindo Aziz Chan,Sumatera Barat,Padang,25119,BANK MANDIRI
"Bank Mandiri, Jalan Batang Arau, Kampung Pondok, Padang, Sumatera Barat, 25118, Indonesia",bank,-0.9637905,100.3609438,Jalan Batang Arau,Sumatera Barat,Padang,25118,BANK MANDIRI
"Bank Mandiri, Jalan Lintas Sumatera, Muaro Kalaban, Sawahlunto, Kupitan, Sumatera Barat, Indonesia",bank,-0.68054145,100.77670834497638,Jalan Lintas Sumatera,Kupitan,Sawahlunto,Sumatera Barat,BANK MANDIRI
"Bank Mandiri, Jalan Marsan Sejahtera, Kelurahan Sidomulyo Barat, Kabupaten Kampar, Riau, 28294, Indonesia",bank,0.4636841,101.4096042,Jalan Marsan Sejahtera,Riau,Kabupaten Kampar,28294,BANK MANDIRI
"Bank Mandiri, Jalan Datuk Tabano, Pasar Atas (Pasar Inpres) Bangkinang, Bangkinang, Kabupaten Kampar, Riau, 28412, Indonesia",bank,0.3422111,101.0241055,Jalan Datuk Tabano,Kabupaten Kampar,Bangkinang,28412,BANK MANDIRI
"Bank Mandiri, Jalan HR. Soebrantas, Pekanbaru, Kabupaten Kampar, Riau, 28297, Indonesia",bank,0.46368770000000004,101.38570417149774,Jalan HR. Soebrantas,Riau,Kabupaten Kampar,28297,BANK MANDIRI
"Bank Mandiri, Padang - Bukittinggi, Korong Pasa Mudiak, KORONG PASA MUDIAK, Padang Pariaman, Sumatera Barat, 25582, Indonesia",bank,-0.6658984,100.2858545,Padang - Bukittinggi,Sumatera Barat,Padang Pariaman,25582,BANK MANDIRI
"Bank Mandiri, Jalan Setia Budi, Tanjung Rejo, Medan Sunggal, Kota Medan, Sumatera Utara, 20133, Indonesia",bank,3.564632,98.6385032,Jalan Setia Budi,Sumatera Utara,Kota Medan,20133,BANK MANDIRI
"Bank Mandiri, Jalan Kapten Muslim, Sei Sikambing, Medan Helvetia, Kota Medan, Sumatera Utara, 20123, Indonesia",bank,3.6009221,98.6454973,Jalan Kapten Muslim,Sumatera Utara,Kota Medan,20123,BANK MANDIRI
"Bank Mandiri, Jalan Raya Medan Banda Aceh, Langsa Kota, Langsa, Aceh, 24412, Indonesia",bank,4.4705866,97.96962103753117,Jalan Raya Medan Banda Aceh,Aceh,Langsa,24412,BANK MANDIRI
"Bank Mandiri, Jalan Serma Lian Kosong, Wek II, Padang Sidempuan, Kota Padang Sidempuan, Sumatera Utara, 22718, Indonesia",bank,1.3803952499999999,99.27114199080859,Jalan Serma Lian Kosong,Sumatera Utara,Kota Padang Sidempuan,22718,BANK MANDIRI
"Bank Mandiri, Tebing Tinggi, Jalan Dokter Sutomo, Tebing Tinggi, Kota Tebing Tinggi, Sumatera Utara, 20600, Indonesia",bank,3.3271571,99.1646721,Tebing Tinggi,Sumatera Utara,Kota Tebing Tinggi,20600,BANK MANDIRI
"Bank Mandiri, Jalan Raya Medan-Tebing Tinggi, Lingkungan Tempel, Simpang Tiga Pekan, Perbaungan, Serdang Bedagai, Sumatera Utara, Indonesia",bank,3.5674782,98.9554842,Jalan Raya Medan-Tebing Tinggi,Serdang Bedagai,Perbaungan,Sumatera Utara,BANK MANDIRI
"Bank Mandiri, Jalan Otto Iskandardinata, Balonggede, Regol, Bandung, Jawa Barat, 40251, Indonesia",bank,-6.924475,107.60406507220456,Jalan Otto Iskandardinata,Jawa Barat,Bandung,40251,BANK MANDIRI
"Bank Mandiri, 16-D, Jalan Zainul Arifin, Little India, Petisah, Medan Petisah, Kota Medan, Sumatera Utara, 20112, Indonesia",bank,3.5838498,98.6745519,16-D,Kota Medan,Medan Petisah,20112,BANK MANDIRI
"Bank Mandiri, Jalan Rajawali, Keuramat, Kuta Alam, Banda Aceh, Aceh, 23121, Indonesia",bank,5.55861925,95.32859420071188,Jalan Rajawali,Banda Aceh,Kuta Alam,23121,BANK MANDIRI
"Bank Mandiri, Jalan Merdeka, Simpang Empat, Lhokseumawe, Aceh, 24351, Indonesia",bank,5.1812764,97.1407475,Jalan Merdeka,Aceh,Lhokseumawe,24351,BANK MANDIRI
"Bank Mandiri, Jalan Cilacap, Perumahan Perta Arun Gas, Muara Satu, Lhokseumawe, Aceh, 24353, Indonesia",bank,5.2184508,97.049759,Jalan Cilacap,Lhokseumawe,Muara Satu,24353,BANK MANDIRI
"Bank Mandiri, Jalan Merdeka, Lancang Garam, Lhokseumawe, Aceh, 24351, Indonesia",bank,5.1778781,97.150246,Jalan Merdeka,Aceh,Lhokseumawe,24351,BANK MANDIRI
"Bank Mandiri, Jalan Raya Medan Banda Aceh, Bireuen, Kota Juang, Bireuen, Aceh, 24186, Indonesia",bank,5.20151945,96.70079859614233,Jalan Raya Medan Banda Aceh,Bireuen,Kota Juang,24186,BANK MANDIRI
"Bank Mandiri, Mata Ie, Bitai, Darul Imarah, Aceh Besar, Aceh, 23352, Indonesia",bank,5.5144002,95.30322190077499,Mata Ie,Aceh Besar,Darul Imarah,23352,BANK MANDIRI
"Bank Mandiri, Jalan K.H. Zainul Arifin, Stabat Baru, Langkat, Sumatera Utara, 20811, Indonesia",bank,3.7531312999999997,98.45322385,Jalan K.H. Zainul Arifin,Sumatera Utara,Langkat,20811,BANK MANDIRI
"Bank Mandiri, Jalan Oerip Sumoharjo, Kec. Kota Lama, Bonipoi, Kupang, Nusa Tenggara Timur, 85221, Indonesia",bank,-10.161769849999999,123.58265065604516,Jalan Oerip Sumoharjo,Nusa Tenggara Timur,Kupang,85221,BANK MANDIRI
"Bank Mandiri, Jalan Adi Sucipto, Lingk. Kebon Roek, Kel. Dayan Peken, Mataram, Kec. Ampenan, Nusa Tenggara Barat, 83111, Indonesia",bank,-8.5661779,116.0776277,Jalan Adi Sucipto,Nusa Tenggara Barat,Kec. Ampenan,83111,BANK MANDIRI
"Bank Mandiri, 105, Jalan Gajah Mada, Pemecutan, Denpasar Barat, Bali, 80232, Indonesia",bank,-8.6554598,115.21180081385354,105,Denpasar Barat,Pemecutan,80232,BANK MANDIRI
"Bank Mandiri, Jalan I. Gusti Ngurah Rai, Gianyar, Bali, 80512, Indonesia",bank,-8.5415979,115.3261588,Jalan I. Gusti Ngurah Rai,Gianyar,Jalan I. Gusti Ngurah Rai,80512,BANK MANDIRI
"Bank Mandiri, Jalan AMD, Kalanganyar, Pandeglang, Banten, 42264, Indonesia",bank,-6.376155,105.8277107,Jalan AMD,Banten,Pandeglang,42264,BANK MANDIRI
"Bank Mandiri, Jalan WR. Supratman, Kesiman Kertalangu, Denpasar Timur, Bali, 80237, Indonesia",bank,-8.6398931,115.2525967,Jalan WR. Supratman,Bali,Denpasar Timur,80237,BANK MANDIRI
"Bank Mandiri, Jalan Kencana Utama, RW 07, Kembangan Selatan, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11610, Indonesia",bank,-6.1905488,106.7503107,Jalan Kencana Utama,Daerah Khusus Ibukota Jakarta,Jakarta Barat,11610,BANK MANDIRI
