display_name,type,lat,lon,alamat,zip,bank,country,provinsi,kota
"Bank BRI, Jalan Karangrejo Raya, RW 07, Srondol Wetan, Banyumanik, Semarang, Jawa Tengah, Jawa, 50265, Indonesia",bank,-7.0744938,110.415245,Jalan Karangrejo Raya,50265,BANK BRI,Indonesia,Jawa Tengah,Semarang
"Bank BRI, Jalan Brigadir Jenderal Sudiarto, RW 01, Penggaron Kidul, Pedurungan, Semarang, Jawa Tengah, Jawa, 50193, Indonesia",bank,-7.0166141,110.48709321235046,Jalan Brigadir Jenderal Sudiarto,50193,BANK BRI,Indonesia,Jawa Tengah,Semarang
"Bank BRI, Jalan Brigadir Jenderal Sudiarto, RW 05, Pedurungan Lor, Pedurungan, Semarang, Jawa Tengah, Jawa, 50193, Indonesia",bank,-7.0156962499999995,110.48471545000001,Jalan Brigadir Jenderal Sudiarto,50193,BANK BRI,Indonesia,Jawa Tengah,Semarang
"Bank BRI, Jalan Adi Sucipto, Colomadu, Karanganyar, Jawa Tengah, Jawa, 57173, Indonesia",bank,-7.53299595,110.75127303035518,Jalan Adi Sucipto,57173,BANK BRI,Indonesia,Jawa Tengah,Karanganyar
"Bank BRI, Jalan Brigadir Jenderal Slamet Riyadi, Jayengan, Surakarta, Kecamatan Serengan, Jawa Tengah, Jawa, 57131, Indonesia",bank,-7.5674836,110.8148104,Jalan Brigadir Jenderal Slamet Riyadi,57131,BANK BRI,Indonesia,Jawa Tengah,Kecamatan Serengan
"Bank BRI, Jalan Adi Sucipto, Colomadu, Karanganyar, Jawa Tengah, Jawa, 57173, Indonesia",bank,-7.5331077,110.7512568,Jalan Adi Sucipto,57173,BANK BRI,Indonesia,Jawa Tengah,Karanganyar
"Bank BRI, Jalan Raya Solo - Ngawi, Masaran, Sragen, Jawa Tengah, Jawa, Indonesia",bank,-7.4720608,110.9284787,Jalan Raya Solo - Ngawi,Jawa,BANK BRI,Indonesia,Jawa Tengah,Sragen
"Bank BRI, Jalan Ambarwati No. 1, Mas, Ubud, Gianyar, Bali, 80571, Indonesia",bank,-8.5425748,115.2720551,Jalan Ambarwati No. 1,80571,BANK BRI,Indonesia,Bali,Gianyar
"Bank BRI, Jalan Petitenget, Kerobokan Klod, Badung, Bali, 08361, Indonesia",bank,-8.6718783,115.1643034,Jalan Petitenget,08361,BANK BRI,Indonesia,Bali,Badung
"Bank BRI, Jalan Otto Iskandardinata, Pungkur, Regol, Bandung, Jawa Barat, 40252, Indonesia",bank,-6.93083015,107.60359167622549,Jalan Otto Iskandardinata,40252,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Jalan Raya Tuban - Palang, Karangagung Timur, Karangagung, Palang, Tuban, Jawa Timur, Jawa, 62391, Indonesia",bank,-6.9004434,112.1691913,Jalan Raya Tuban - Palang,62391,BANK BRI,Indonesia,Jawa Timur,Tuban
"Bank BRI, Jalan Diponegoro, Kutoarjo, Purworejo, Jawa Tengah, Jawa, 54212, Indonesia",bank,-7.7234277,109.9059755,Jalan Diponegoro,54212,BANK BRI,Indonesia,Jawa Tengah,Purworejo
"Bank BRI, Jalan Rajawali, Sampang, Jawa Timur, 69211, Indonesia",bank,-7.1984548,113.24276161375377,Jalan Rajawali,69211,BANK BRI,Indonesia,Jawa Timur,Sampang
"BANK BRI, JI-230, Madulang, Sampang, Jawa Timur, Indonesia",bank,-7.11720365,113.3275295,Madulang,0,BANK BRI,Indonesia,Jawa Timur,Sampang
"BANK BRI, Jalan KH. Wahid Hasyim, Sampang, Jawa Timur, 69211, Indonesia",bank,-7.18897705,113.24433034282983,Jalan KH. Wahid Hasyim,69211,BANK BRI,Indonesia,Jawa Timur,Sampang
"Bank BRI, Gang Dahlia III, Banjarangkan, Klungkung, Bali, 80716, Indonesia",bank,-8.550680849999999,115.37366249780118,Gang Dahlia III,80716,BANK BRI,Indonesia,Bali,Klungkung
"Bank BRI, Gang Bri, Syahmad, Lubuk Pakam, Deli Serdang, Sumatera Utara, Indonesia",bank,3.55365645,98.87246600167067,Gang Bri,0,BANK BRI,Indonesia,Deli Serdang,Lubuk Pakam
"Bank bri, Jalan Petitenget, Kerobokan Klod, Badung, Bali, 08361, Indonesia",bank,-8.6719105,115.1642813,Jalan Petitenget,08361,BANK BRI,Indonesia,Bali,Badung
"Bank BRI, Jalan Pakis Aji, Demaan, Jepara, Jawa Tengah, Jawa, 59411, Indonesia",bank,-6.5978002,110.6759132,Jalan Pakis Aji,59411,BANK BRI,Indonesia,Jawa Tengah,Jepara
"BANK BRI, Jalan Jenderal Gatot Subroto, Sokaraja, Banyumas, Jawa Tengah, Jawa, 53191, Indonesia",bank,-7.45868585,109.29859844902785,Jalan Jenderal Gatot Subroto,53191,BANK BRI,Indonesia,Jawa Tengah,Banyumas
"Bank BRI, Jalan Pusur, Kebonharjo, Klaten, Jawa Tengah, Jawa, 57482, Indonesia",bank,-7.6034136,110.6479917,Jalan Pusur,57482,BANK BRI,Indonesia,Jawa Tengah,Klaten
"Bank BRI, Jalan Ceper, Ceper, Klaten, Jawa Tengah, Jawa, 57465, Indonesia",bank,-7.6750077,110.67960585967441,Jalan Ceper,57465,BANK BRI,Indonesia,Jawa Tengah,Klaten
"Bank BRI, Jalan Jogja - Solo, Jombor, Klaten, Jawa Tengah, Jawa, 57465, Indonesia",bank,-7.6742706,110.65363575,Jalan Jogja - Solo,57465,BANK BRI,Indonesia,Jawa Tengah,Klaten
"Bank BRI, Jalan Raya Solo - Ngawi, Karanganyar, Sragen, Jawa Tengah, Jawa, Indonesia",bank,-7.378228,111.1000367,Jalan Raya Solo - Ngawi,Jawa,BANK BRI,Indonesia,Jawa Tengah,Sragen
"Bank BRI, Jalan Pandanaran, Boyolali, Jawa Tengah, Jawa, 57313, Indonesia",bank,-7.5335128,110.6014341,Jalan Pandanaran,57313,BANK BRI,Indonesia,Jawa Tengah,Boyolali
"Bank BRI (Persero), Jalan Jenderal Urip Sumoharjo, Purworejo, Jawa Tengah, Jawa, 54151, Indonesia",bank,-7.712763300000001,110.01126830145321,Jalan Jenderal Urip Sumoharjo,54151,BANK BRI (PERSERO),Indonesia,Jawa Tengah,Purworejo
"Bank BRI, Jalan Raya Ngrambe - Sine, Ngawi, Jawa Timur, Jawa, 63263, Indonesia",bank,-7.5128077,111.2025805,Jalan Raya Ngrambe - Sine,63263,BANK BRI,Indonesia,Jawa Timur,Ngawi
"Bank BRI, Jalan Abdul Haris Nasution, Cipadung Kulon, Panyileukan, Bandung, Jawa Barat, Jawa, 40614, Indonesia",bank,-6.919348749999999,107.70804525005302,Jalan Abdul Haris Nasution,40614,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Jalan W.R. Supratman, Cangkrep Lor, Purworejo, Jawa Tengah, Jawa, 54118, Indonesia",bank,-7.7223649,110.0235325,Jalan W.R. Supratman,54118,BANK BRI,Indonesia,Jawa Tengah,Purworejo
"Bank BRI, Jalan Raya Karanganyar, Karanganyar, Purbalingga, Jawa Tengah, Jawa, 53354, Indonesia",bank,-7.3044137,109.41185209196752,Jalan Raya Karanganyar,53354,BANK BRI,Indonesia,Jawa Tengah,Purbalingga
"Bank BRI, Jalan Joyoningrat, Srumbung, Magelang, Jawa Tengah, Jawa, 56483, Indonesia",bank,-7.5982745000000005,110.32986038108677,Jalan Joyoningrat,56483,BANK BRI,Indonesia,Jawa Tengah,Magelang
"Bank BRI, Jalan Tempel-Sayegan, Margomulyo, Seyegan, Sleman, Daerah Istimewa Yogyakarta, 55561, Indonesia",bank,-7.7198641,110.3087791,Jalan Tempel-Sayegan,55561,BANK BRI,Indonesia,Daerah Istimewa Yogyakarta,Sleman
"Bank BRI, *, Tanjungharjo, Nanggulan, Kulon Progo, Daerah Istimewa Yogyakarta, Jawa, 55563, Indonesia",bank,-7.7669561,110.2091889,Tanjungharjo,55563,BANK BRI,Indonesia,Daerah Istimewa Yogyakarta,Kulon Progo
"BANK BRI, Jalan Diponegoro, Kel. Fakfak Selatan, Fakfak, Papua Barat, 98100, Indonesia",bank,-2.9307324,132.30807602340425,Jalan Diponegoro,98100,BANK BRI,Indonesia,Papua Barat,Fakfak
"Bank BRI, Jalan Bypass Ngurah Rai, Sanur Kaja, Denpasar Selatan, Bali, 80030, Indonesia",bank,-8.67760075,115.25903285,Jalan Bypass Ngurah Rai,80030,BANK BRI,Indonesia,Bali,Denpasar Selatan
"Bank BRI, Jalan Mahendradatta, Padangsambian, Denpasar Barat, Bali, 80119, Indonesia",bank,-8.6698744,115.1907883,Jalan Mahendradatta,80119,BANK BRI,Indonesia,Bali,Denpasar Barat
"Bank BRI, Jalan Gajah Mada, Benua Melayu Darat, Pontianak Selatan, Pontianak, Kalimantan Barat, 78117, Indonesia",bank,-0.03957185,109.34370855762357,Jalan Gajah Mada,78117,BANK BRI,Indonesia,Kalimantan Barat,Pontianak
"BANK BRI, Jalan Jakarta, Kacapiring, Batununggal, Bandung, Jawa Barat, 40272, Indonesia",bank,-6.9147667,107.6365085,Jalan Jakarta,40272,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Jalan Jenderal Ahmad Yani, RW 02 Kel. Tambakreja, Desa Tambakreja, Cilacap, Jawa Tengah, 53222, Indonesia",bank,-7.736454950000001,109.00912802470108,Jalan Jenderal Ahmad Yani,53222,BANK BRI,Indonesia,Jawa Tengah,Cilacap
"Bank BRI, Jalan Perjuangan, T U K, Jawa Barat, 45132, Indonesia",bank,-6.73421315,108.53980085,Jalan Perjuangan,45132,BANK BRI,Indonesia,Jawa Barat,T U K
"BANK BRI, Jalan Kidang Pananjung, Dusun Pangandaran Timur, Pangandaran, Desa Pagandaran, Pangandaran, Jawa Barat, Jawa, 49396, Indonesia",bank,-7.701833000000001,108.65755615044554,Jalan Kidang Pananjung,49396,BANK BRI,Indonesia,Jawa Barat,Pangandaran
"Bank BRI, Jalan Kyai Haji Ali Maksum, Suryodiningratan, Mantrijeron, Kota Yogyakarta, Sewon, Bantul, Daerah Istimewa Yogyakarta, 55141, Indonesia",bank,-7.8249808,110.3608743,Jalan Kyai Haji Ali Maksum,55141,BANK BRI,Indonesia,Daerah Istimewa Yogyakarta,Bantul
"Bank BRI, Gang Anggrek Putih, Sungai Raya, Kubu Raya, Kalimantan Barat, 78122, Indonesia",bank,-0.0753455,109.3804413,Gang Anggrek Putih,78122,BANK BRI,Indonesia,Kalimantan Barat,Kubu Raya
"Bank BRI, Jalan Depati Gegedek, Tanjung Pandan, Belitung, Kepulauan Bangka Belitung, 33412, Indonesia",bank,-2.7409874,107.63091,Jalan Depati Gegedek,33412,BANK BRI,Indonesia,Kepulauan Bangka Belitung,Belitung
"Bank BRI, Jalan Merdeka, Tanjung Pandan, Belitung, Kepulauan Bangka Belitung, 33412, Indonesia",bank,-2.7413267,107.63499876465693,Jalan Merdeka,33412,BANK BRI,Indonesia,Kepulauan Bangka Belitung,Belitung
"Bank BRI, Skybridge LRT Velodrome Halte Pemuda, RW 01, Jati, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13250, Indonesia",bank,-6.1931792,106.8915868,Skybridge LRT Velodrome Halte Pemuda,13250,BANK BRI,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Timur
"Bank BRI, Jalan Peta, Sukaasih, Bojongloa Kaler, Bandung, Jawa Barat, 40232, Indonesia",bank,-6.93523015,107.5917985619153,Jalan Peta,40232,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Jalan Abdul Haris Nasution, Cipadung Wetan, Panyileukan, Bandung, Jawa Barat, Jawa, 40614, Indonesia",bank,-6.9332746499999995,107.7160373,Jalan Abdul Haris Nasution,40614,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Jalan Cimanuk, Citarum, Bandung Wetan, Bandung, Jawa Barat, 40113, Indonesia",bank,-6.9056483,107.62062282926136,Jalan Cimanuk,40113,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Jalan Sutomo, Binjai, Kota Binjai, Sumatera Utara, 20711, Indonesia",bank,3.610902,98.4940899,Jalan Sutomo,20711,BANK BRI,Indonesia,Sumatera Utara,Kota Binjai
"Bank BRI, Otto Iskandardinata, Subang, Jawa Barat, Jawa, 41211, Indonesia",bank,-6.562813650000001,107.76705945771772,Otto Iskandardinata,41211,BANK BRI,Indonesia,Jawa Barat,Subang
"Bank BRI, Jalan Leuwisari, Dusun Empang, Desa Arjasari, Desa Arjasari, Tasikmalaya, Jawa Barat, Jawa, 46412, Indonesia",bank,-7.338239850000001,108.10615106619095,Jalan Leuwisari,46412,BANK BRI,Indonesia,Jawa Barat,Tasikmalaya
"Bank BRI, Jalan Jendral Achmad Yani, Sidokumpul, Sidoarjo, Jawa Timur, 61200, Indonesia",bank,-7.4483814,112.7186191,Jalan Jendral Achmad Yani,61200,BANK BRI,Indonesia,Jawa Timur,Sidoarjo
"Bank BRI, Jalan Persatuan, Catur Tunggal, Depok, Sleman, Daerah Istimewa Yogyakarta, 55281, Indonesia",bank,-7.7749128,110.3755773,Jalan Persatuan,55281,BANK BRI,Indonesia,Daerah Istimewa Yogyakarta,Sleman
"Bank BRI, Jalan Boulevard Barat, RW 07, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14240, Indonesia",bank,-6.1569728,106.8998936,Jalan Boulevard Barat,14240,BANK BRI,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Utara
"Bank BRI, Amphibi, Argapura, Ardipura, Jayapura, Papua, 99116, Indonesia",bank,-2.5679288,140.7022965,Argapura,99116,BANK BRI,Indonesia,Jayapura,Ardipura
"Bank BRI, 8-H, Jalan Asrama, Medan Helvetia, Kota Medan, Sumatera Utara, 20351, Indonesia",bank,3.5988365,98.6272784,Jalan Asrama,20351,BANK BRI,Indonesia,Sumatera Utara,Kota Medan
"Bank BRI, Jalan Laksamana RE Martadinata, Pondok Cabe Udik, Pamulang, Tangerang Selatan, Banten, 15418, Indonesia",bank,-6.3457293,106.7499825,Jalan Laksamana RE Martadinata,15418,BANK BRI,Indonesia,Banten,Tangerang Selatan
"Bank BRI, Jalan Cabe Raya, Pondok Cabe City Market, Pondok Cabe Udik, Pamulang, Tangerang Selatan, Banten, 15418, Indonesia",bank,-6.3443673,106.7588444,Jalan Cabe Raya,15418,BANK BRI,Indonesia,Banten,Tangerang Selatan
"Bank BRI, Jalan Nasution, Dum Timur, Sorong, Papua Barat Daya, 98411, Indonesia",bank,-0.88665355,131.2397037,Jalan Nasution,98411,BANK BRI,Indonesia,Papua Barat Daya,Sorong
"Bank BRI, Dusun Ciawi II, Desa Bojonggambir, Ciroyom, Tasikmalaya, Jawa Barat, Indonesia",bank,-7.5104150999999995,107.97631987537058,Dusun Ciawi II,0,BANK BRI,Indonesia,Jawa Barat,Tasikmalaya
"Bank BRI, Jalan Raya Cikalong, Dusun Cilutung, Desa Cikalong, Desa Cikalong, Tasikmalaya, Jawa Barat, Indonesia",bank,-7.76317315,108.17343605,Jalan Raya Cikalong,0,BANK BRI,Indonesia,Jawa Barat,Tasikmalaya
"Bank BRI, Kemiri, Hinekombe, Sentani, Jayapura, Papua, 99532, Indonesia",bank,-2.5617791,140.497475,Hinekombe,99532,BANK BRI,Indonesia,Jayapura,Sentani
"Bank BRI, Jalan W.J. Lala Mentik, Atambua, Belu, Nusa Tenggara Timur, 85711, Indonesia",bank,-9.105849150000001,124.88591260469806,Jalan W.J. Lala Mentik,85711,BANK BRI,Indonesia,Nusa Tenggara Timur,Belu
"Bank BRI, Jalan Trikora, Dum Timur, Sorong, Papua Barat Daya, 98411, Indonesia",bank,-0.8862192499999999,131.2399529766699,Jalan Trikora,98411,BANK BRI,Indonesia,Papua Barat Daya,Sorong
"Bank BRI, Jalan Yos Sudarso, Lantipo, Sinakma, Wamena, Jayawijaya, Papua Pegunungan, 99511, Indonesia",bank,-4.1031966,138.9336643,Jalan Yos Sudarso,99511,BANK BRI,Indonesia,Papua Pegunungan,Jayawijaya
"Bank BRI, Jalan JB Wenas, Hom-Hom, Wamena, Jayawijaya, Papua Pegunungan, 99511, Indonesia",bank,-4.0703111,138.9392665,Jalan JB Wenas,99511,BANK BRI,Indonesia,Papua Pegunungan,Jayawijaya
"Bank BRI, Jalan Jenderal Sudirman, Sanggeng, Manokwari, Papua Barat, 98312, Indonesia",bank,-0.8668229,134.065342,Jalan Jenderal Sudirman,98312,BANK BRI,Indonesia,Papua Barat,Manokwari
"Bank BRI, Jalan Mota'ain Timor, Belu, Nusa Tenggara Timur, Indonesia",bank,-8.991582399999999,124.87041838440919,Jalan Mota'ain Timor,0,BANK BRI,Indonesia,Jalan Mota'ain Timor,Bank BRI
"Bank BRI, Jalan Dokter Sam Ratulangi, Pasir Hitam, Serui Kota, Kepulauan Yapen, Papua, 98211, Indonesia",bank,-1.8828748499999999,136.24386099801768,Jalan Dokter Sam Ratulangi,98211,BANK BRI,Indonesia,Kepulauan Yapen,Serui Kota
"Bank BRI, Jalan Bypass Gatot Subroto, Tonja, Denpasar Utara, Bali, 80115, Indonesia",bank,-8.63576725,115.22326741039728,Jalan Bypass Gatot Subroto,80115,BANK BRI,Indonesia,Bali,Denpasar Utara
"Bank BRI, Jalan WR. Supratman, Kesiman Kertalangu, Denpasar Timur, Bali, 80237, Indonesia",bank,-8.640435,115.2526334476837,Jalan WR. Supratman,80237,BANK BRI,Indonesia,Bali,Denpasar Timur
"Bank BRI, 4, Hang Tuah, Sanur Kaja, Denpasar Selatan, Bali, 80030, Indonesia",bank,-8.6738869,115.2453187,Hang Tuah,80030,BANK BRI,Indonesia,Bali,Denpasar Selatan
